Date,Open,High,Low,Close,Volume,Daily_Return,MA20,MA50,MA200,Volatility_30,Cumulative_Return
2024-05-28,30.2,31.7,30.1,30.2,46190,-0.02580645161290329,32.36,34.257999999999996,,0.02033979195130178,0.6879271070615031
2024-05-29,30.2,30.4,29.3,29.5,68464,-0.023178807947019875,32.2,34.071999999999996,,0.020290188021828942,0.6719817767653755
2024-05-30,29.3,30.8,28.8,30.6,30548,0.03728813559322042,32.084999999999994,33.91,,0.02176515315253892,0.6970387243735761
2024-06-02,31.8,31.8,29.7,29.7,23964,-0.02941176470588247,31.919999999999998,33.74,,0.022234884141688917,0.676537585421412
2024-06-03,30.6,30.6,29.4,29.6,33149,-0.0033670033670032407,31.725,33.568000000000005,,0.020233202784937968,0.6742596810933938
2024-06-04,29.7,30.1,29.5,29.9,53690,0.010135135135135087,31.494999999999997,33.416,,0.020002652724409268,0.6810933940774485
2024-06-05,29.3,29.7,29.3,29.4,15380,-0.01672240802675584,31.26,33.262,,0.019870761795366263,0.6697038724373574
2024-06-06,28.8,29.7,28.8,29.4,40063,0.0,31.014999999999997,33.13,,0.019852418590882992,0.6697038724373574
2024-06-09,29.8,29.8,29.0,29.1,23338,-0.010204081632652962,30.77,33.032,,0.019600736473432336,0.6628701594533029
2024-06-10,29.4,29.5,28.5,28.5,35604,-0.020618556701030966,30.52,32.914,,0.019557727763158374,0.6492027334851935
2024-06-11,27.9,28.8,27.7,27.9,71601,-0.021052631578947434,30.264999999999997,32.738,,0.018196042793946456,0.6355353075170842
2024-06-12,27.1,28.9,27.1,27.5,23377,-0.014336917562723928,30.014999999999997,32.562000000000005,,0.018076386844263298,0.6264236902050113
2024-06-13,27.5,28.0,26.7,27.2,93277,-0.01090909090909098,29.76,32.382,,0.01796279648501662,0.6195899772209567
2024-06-19,28.7,28.7,27.0,27.5,7160,0.011029411764705843,29.53,32.22,,0.01816212766052571,0.6264236902050113
2024-06-20,27.8,28.6,27.6,28.5,83971,0.036363636363636376,29.395,32.07,,0.019381905268159475,0.6492027334851935
2024-06-23,28.3,29.7,28.3,29.2,84343,0.024561403508772006,29.304999999999996,31.921999999999997,,0.019073735306184777,0.6651480637813212
2024-06-24,29.4,29.6,28.4,29.5,225621,0.010273972602739656,29.22,31.778,,0.01924474796922478,0.6719817767653758
2024-06-25,29.7,29.9,29.0,29.8,162101,0.01016949152542379,29.195,31.64,,0.019341577000011993,0.6788154897494305
2024-06-26,29.9,30.5,29.3,30.4,94967,0.020134228187919323,29.22,31.502,,0.01983522619715017,0.6924829157175397
2024-06-27,30.9,30.9,29.6,30.1,165518,-0.009868421052631526,29.175,31.383999999999997,,0.019760801071605674,0.6856492027334851
2024-06-30,30.5,30.5,29.2,29.5,41533,-0.019933554817275767,29.140000000000004,31.247999999999998,,0.019882538308887417,0.6719817767653757
2024-07-02,29.5,29.9,29.2,29.4,76289,-0.003389830508474634,29.135,31.128,,0.01976127624355572,0.6697038724373575
2024-07-03,29.4,30.6,29.2,30.4,164071,0.03401360544217691,29.125,31.03,,0.020879715548550355,0.6924829157175397
2024-07-04,30.4,33.0,30.2,32.5,158056,0.06907894736842102,29.264999999999997,30.978,,0.024537079893462373,0.7403189066059224
2024-07-07,32.5,34.0,32.1,33.8,188765,0.039999999999999813,29.474999999999994,30.99,,0.02493049404530277,0.7699316628701591
2024-07-08,33.8,33.8,32.8,33.2,184683,-0.017751479289940697,29.639999999999997,31.006000000000004,,0.025162511675424083,0.7562642369020499
2024-07-09,33.5,33.5,32.3,32.4,161041,-0.024096385542168752,29.79,30.996,,0.02561487538652655,0.738041002277904
2024-07-10,32.6,34.9,32.6,33.2,128470,0.024691358024691468,29.98,31.008000000000003,,0.025285469895099253,0.7562642369020499
2024-07-11,33.0,33.3,32.4,32.5,42852,-0.02108433734939763,30.15,31.02,,0.025503487553649347,0.7403189066059224
2024-07-14,33.4,33.4,32.0,32.2,37546,-0.009230769230769154,30.335,31.04,,0.02478060249641974,0.7334851936218677
2024-07-15,32.2,32.9,32.1,32.3,57595,0.0031055900621115295,30.555,31.038,,0.02423585035548418,0.7357630979498857
2024-07-16,32.1,33.5,32.1,33.2,143366,0.02786377708978338,30.839999999999996,31.048000000000002,,0.024160845969090683,0.7562642369020498
2024-07-18,33.0,33.4,32.3,33.0,107075,-0.006024096385542244,31.129999999999995,31.05,,0.023399038973073483,0.7517084282460132
2024-07-24,32.8,32.8,32.1,32.1,22240,-0.027272727272727226,31.359999999999996,31.031999999999996,,0.02330061207175272,0.7312072892938493
2024-07-25,32.9,32.9,32.1,32.8,23321,0.02180685358255441,31.575,31.017999999999997,,0.023521176404416946,0.7471526195899767
2024-07-28,32.5,32.8,31.9,31.9,149787,-0.027439024390243816,31.71,30.965999999999998,,0.02415797342510613,0.7266514806378128
2024-07-29,32.4,32.7,31.1,31.4,75400,-0.01567398119122254,31.805,30.912000000000003,,0.024130040978893423,0.7152619589977217
2024-07-30,31.8,31.8,30.5,30.5,42043,-0.0286624203821656,31.839999999999996,30.836000000000002,,0.024789773312472282,0.6947608200455577
2024-07-31,31.3,31.3,29.9,30.2,25200,-0.00983606557377048,31.830000000000002,30.76,,0.024783862909616903,0.6879271070615031
2024-08-01,31.0,31.0,29.5,30.1,73016,-0.0033112582781456013,31.829999999999995,30.692000000000004,,0.024449692612604462,0.685649202733485
2024-08-04,29.2,29.4,29.2,29.2,33549,-0.029900332225913706,31.814999999999998,30.616000000000003,,0.024789690196227617,0.6651480637813209
2024-08-06,29.2,32.1,29.2,32.1,151914,0.09931506849315075,31.95,30.608,,0.03030690566031594,0.7312072892938494
2024-08-07,32.6,35.3,32.6,35.3,370725,0.09968847352024901,32.195,30.667999999999996,,0.034645463951015296,0.8041002277904323
2024-08-08,38.7,38.8,37.0,38.8,580151,0.09915014164305958,32.510000000000005,30.802,,0.03833715120627061,0.8838268792710702
2024-08-11,42.6,42.6,38.2,42.1,1074386,0.08505154639175272,32.925,31.02,,0.040370875099245154,0.9589977220956716
2024-08-12,42.2,42.2,40.9,40.9,388127,-0.028503562945368266,33.31,31.217999999999996,,0.04104219771405016,0.9316628701594528
2024-08-13,40.0,40.2,39.7,39.7,303679,-0.02933985330073341,33.675,31.387999999999998,,0.04173369550221298,0.9043280182232343
2024-08-14,40.4,42.3,38.6,41.4,841338,0.04282115869017611,34.084999999999994,31.61,,0.04214158281156612,0.9430523917995438
2024-08-15,41.5,43.8,40.2,42.5,673631,0.026570048309178862,34.584999999999994,31.862000000000002,,0.042201564585011446,0.9681093394077444
2024-08-18,42.5,42.5,41.3,41.3,144328,-0.028235294117647136,35.040000000000006,32.068000000000005,,0.042661396179991894,0.9407744874715256
2024-08-19,41.1,42.1,40.1,40.1,349390,-0.029055690072639084,35.43,32.266,,0.04292448837277795,0.913439635535307
2024-08-20,39.2,40.7,38.9,38.9,127630,-0.029925187032418976,35.715,32.454,,0.04350381137974522,0.8861047835990884
2024-08-21,37.8,38.9,37.8,37.8,36401,-0.028277634961439646,35.955,32.598,,0.04381642767251788,0.8610478359908879
2024-08-22,36.7,38.8,36.7,38.5,315284,0.0185185185185186,36.275,32.774,,0.042340942155985904,0.8769931662870155
2024-08-25,38.5,39.5,38.5,39.0,175653,0.01298701298701288,36.584999999999994,32.961999999999996,,0.041888746905621554,0.8883826879271065
2024-08-27,38.5,39.6,38.2,39.2,97187,0.00512820512820511,36.95,33.148,,0.04165660322856254,0.892938496583143
2024-08-28,39.2,39.8,38.7,39.2,138400,0.0,37.339999999999996,33.344,,0.04127968609468067,0.892938496583143
2024-08-29,39.8,40.4,39.0,39.9,182995,0.017857142857142794,37.81,33.553999999999995,,0.041198402502402316,0.9088838268792705
2024-09-01,40.0,41.1,40.0,40.6,208869,0.01754385964912286,38.33,33.784,,0.04089497188901229,0.924829157175398
2024-09-02,41.7,41.7,39.6,39.7,297921,-0.02216748768472898,38.81,34.008,,0.04115276734678821,0.9043280182232342
2024-09-03,40.0,40.2,39.5,39.5,148486,-0.005037783375314908,39.325,34.24,,0.041211565306491525,0.8997722095671977
2024-09-04,39.1,39.7,38.9,39.0,76173,-0.012658227848101222,39.67,34.47,,0.04118589647171379,0.8883826879271066
2024-09-05,39.8,39.8,38.6,38.7,88670,-0.007692307692307665,39.84,34.7,,0.0412040509961094,0.881548974943052
2024-09-08,39.7,39.7,37.4,37.6,167543,-0.02842377260981921,39.779999999999994,34.902,,0.04123673579493001,0.8564920273348514
2024-09-09,37.6,38.2,36.8,37.3,110846,-0.007978723404255428,39.540000000000006,35.078,,0.04120349911211166,0.8496583143507966
2024-09-10,37.3,38.6,36.9,37.3,60953,0.0,39.36,35.24,,0.04075881063979153,0.8496583143507966
2024-09-11,37.5,38.0,37.4,37.6,72606,0.008042895442359255,39.255,35.402,,0.04055344601269092,0.8564920273348513
2024-09-12,38.4,38.4,37.4,37.7,55806,0.0026595744680850686,39.07000000000001,35.56,,0.040008803953085134,0.8587699316628695
2024-09-15,37.5,38.5,37.3,37.8,61271,0.0026525198938991412,38.835,35.708,,0.0398833945664381,0.8610478359908877
2024-09-17,37.8,38.4,37.5,38.3,49159,0.013227513227513255,38.684999999999995,35.872,,0.03983235907156559,0.8724373576309788
2024-09-18,38.2,38.2,37.2,37.3,70083,-0.026109660574412552,38.545,36.028,,0.03971118719173771,0.8496583143507966
2024-09-19,37.5,38.4,37.3,38.2,97435,0.024128686327077986,38.51,36.204,,0.03601006611132288,0.8701594533029609
2024-09-22,37.8,39.0,36.9,37.1,156483,-0.028795811518324665,38.475,36.337999999999994,,0.03194611944940927,0.8451025056947603
2024-09-23,37.1,37.7,37.1,37.6,60397,0.013477088948786964,38.43,36.44,,0.026306303418734467,0.8564920273348513
2024-09-24,37.1,38.5,37.1,37.6,34987,0.0,38.36,36.516,,0.020737795224318917,0.8564920273348513
2024-09-25,37.6,37.6,35.3,35.8,128781,-0.04787234042553201,38.19,36.568,,0.02181489596997018,0.8154897494305232
2024-09-26,35.4,37.3,35.1,35.4,113857,-0.011173184357541888,38.0,36.628,,0.02133990855179305,0.8063781321184503
2024-09-29,36.2,36.5,35.3,35.6,54493,0.005649717514124353,37.785,36.676,,0.019556689026078426,0.8109339407744868
2024-09-30,36.7,36.7,35.4,36.0,58348,0.011235955056179803,37.555,36.746,,0.018896917174636787,0.8200455580865597
2024-10-01,36.6,36.6,35.1,35.5,34696,-0.01388888888888884,37.345,36.812,,0.018474427384030476,0.8086560364464686
2024-10-02,35.0,35.5,33.4,34.7,62965,-0.022535211267605604,37.105000000000004,36.86,,0.01821656913607456,0.7904328018223228
2024-10-03,34.5,35.0,33.4,33.6,91016,-0.03170028818443804,36.835,36.867999999999995,,0.018304177868717277,0.7653758542141224
2024-10-06,35.3,35.3,33.5,33.6,42783,0.0,36.58,36.88,,0.01776878109786013,0.7653758542141224
2024-10-07,34.3,34.3,33.2,33.3,29129,-0.008928571428571508,36.365,36.904,,0.017281841642368415,0.7585421412300676
2024-10-08,32.4,33.5,32.1,32.6,41092,-0.02102102102102088,36.13,36.9,,0.017198252540463522,0.7425968109339401
2024-10-09,33.9,35.5,32.6,35.0,121294,0.07361963190184051,36.015,36.961999999999996,,0.022446131357368924,0.7972665148063774
2024-10-14,35.4,36.1,34.6,35.0,78204,0.0,35.885000000000005,37.034,,0.022446131357368924,0.7972665148063774
2024-10-15,34.6,35.0,34.5,34.7,30820,-0.008571428571428452,35.735,37.117999999999995,,0.022093671509500715,0.7904328018223229
2024-10-16,34.4,35.1,34.0,34.1,55375,-0.01729106628242083,35.55,37.196000000000005,,0.02181366231980641,0.7767653758542135
2024-10-17,33.5,34.6,33.5,33.8,107479,-0.008797653958944385,35.325,37.27,,0.021598426912693758,0.7699316628701587
2024-10-20,34.6,36.5,33.8,35.0,173966,0.03550295857988184,35.21,37.385999999999996,,0.022836899298250567,0.7972665148063774
2024-10-21,36.3,36.3,35.0,36.2,220042,0.034285714285714475,35.11,37.468,,0.023795404747341996,0.8246013667425962
2024-10-22,37.0,37.5,35.9,36.9,240997,0.01933701657458542,35.1,37.5,,0.02409054654231724,0.8405466970387235
2024-10-23,37.0,37.0,35.6,36.0,61674,-0.024390243902438935,35.019999999999996,37.444,,0.023944813504729184,0.8200455580865597
2024-10-24,36.4,36.4,35.0,35.1,103971,-0.02499999999999991,34.894999999999996,37.304,,0.024310469189508205,0.7995444191343958
2024-10-27,34.3,36.1,33.4,33.7,102628,-0.03988603988603989,34.790000000000006,37.16,,0.025283142926968906,0.7676537585421407
2024-10-28,33.7,34.4,33.0,33.0,112625,-0.020771513353115778,34.67,37.025999999999996,,0.025393437031725488,0.7517084282460131
2024-10-29,32.7,35.0,32.7,34.1,190952,0.03333333333333344,34.595000000000006,36.88,,0.026274409957376423,0.7767653758542137
2024-10-30,34.7,35.7,34.4,35.5,582697,0.04105571847507328,34.57000000000001,36.74,,0.027468171610856105,0.8086560364464688
2024-10-31,36.9,36.9,33.6,35.0,226648,-0.014084507042253502,34.545,36.614000000000004,,0.027407897189347025,0.7972665148063777
2024-11-03,35.4,35.4,33.9,34.1,282849,-0.02571428571428569,34.515,36.494,,0.02739631505789669,0.7767653758542137
2024-11-04,34.1,35.6,33.8,35.1,641759,0.029325513196480912,34.589999999999996,36.418,,0.027587088202861033,0.7995444191343959
2024-11-05,35.7,36.7,35.2,35.5,520155,0.01139601139601143,34.685,36.372,,0.027237402116942287,0.8086560364464688
2024-11-06,35.0,35.0,33.7,34.1,651171,-0.03943661971830981,34.725,36.284,,0.027963550513937015,0.7767653758542137
2024-11-07,34.1,34.6,33.5,33.7,688505,-0.011730205278592365,34.78,36.178000000000004,,0.028003910598451275,0.7676537585421408
2024-11-10,33.7,34.0,32.9,33.1,206703,-0.017804154302670683,34.684999999999995,36.056,,0.02686748475546782,0.7539863325740315
2024-11-11,33.1,33.5,32.9,33.2,371444,0.0030211480362538623,34.595,35.936,,0.02683017700308544,0.7562642369020498
2024-11-12,34.2,34.6,33.7,34.0,412715,0.02409638554216853,34.56,35.818000000000005,,0.02721524412858964,0.7744874715261955
2024-11-13,34.5,34.5,33.4,33.7,156427,-0.008823529411764675,34.540000000000006,35.68,,0.02714605950951325,0.7676537585421408
2024-11-14,33.7,34.8,33.7,34.5,276723,0.023738872403560762,34.575,35.576,,0.027438182629067553,0.7858769931662866
2024-11-17,34.6,34.7,34.2,34.2,140423,-0.008695652173912993,34.535,35.47,,0.027171584596243303,0.7790432801822319
2024-11-18,34.5,35.0,33.4,33.6,156037,-0.01754385964912286,34.405,35.361999999999995,,0.0267236606226315,0.7653758542141226
2024-11-19,33.7,34.1,33.3,33.5,192269,-0.0029761904761904656,34.235,35.258,,0.02673049252805401,0.7630979498861044
2024-11-20,33.5,34.9,33.5,34.7,477896,0.03582089552238821,34.17,35.2,,0.027440285074226647,0.7904328018223231
2024-11-21,34.9,35.0,33.8,33.9,124250,-0.023054755043227737,34.11,35.132,,0.027500882914293496,0.7722095671981772
2024-11-24,33.7,34.0,33.7,33.8,120128,-0.002949852507374673,34.114999999999995,35.062000000000005,,0.023911557749428967,0.769931662870159
2024-11-25,33.8,34.3,33.5,33.5,222694,-0.008875739644970349,34.14,34.98,,0.023955075518026923,0.7630979498861044
2024-11-26,33.8,34.2,32.7,33.0,246715,-0.014925373134328401,34.084999999999994,34.886,,0.024050553434149958,0.7517084282460132
2024-11-27,33.0,34.0,33.0,33.5,335387,0.015151515151515138,33.985,34.8,,0.02404050894477194,0.7630979498861044
2024-11-28,33.6,34.2,33.2,33.4,607837,-0.0029850746268657025,33.904999999999994,34.702,,0.023993147326445217,0.7608200455580861
2024-12-01,33.4,34.0,33.2,33.4,58250,0.0,33.870000000000005,34.624,35.281,0.023031842811205377,0.7608200455580861
2024-12-02,33.5,34.0,33.1,33.3,468065,-0.0029940119760479833,33.78,34.525999999999996,35.228,0.02202936595949626,0.7585421412300678
2024-12-03,33.4,34.0,33.2,33.4,512539,0.0030030030030030463,33.675,34.452000000000005,35.183,0.0216687792071614,0.760820045558086
2024-12-04,33.6,35.0,33.5,34.2,1215412,0.023952095808383422,33.68,34.38399999999999,35.151,0.021827076193088157,0.7790432801822319
2024-12-05,34.2,34.6,33.1,33.2,338405,-0.029239766081871288,33.654999999999994,34.296,35.125,0.021997682961753442,0.7562642369020497
2024-12-08,33.5,33.5,32.9,33.1,243982,-0.003012048192771122,33.655,34.242000000000004,35.1005,0.02078241987343068,0.7539863325740315
2024-12-09,33.4,33.8,32.8,32.8,188812,-0.009063444108761476,33.635000000000005,34.19,35.07,0.020494432569860364,0.7471526195899767
2024-12-10,32.9,33.4,32.7,32.9,207856,0.0030487804878049918,33.58,34.135999999999996,35.041000000000004,0.0195185269548625,0.749430523917995
2024-12-11,33.0,33.4,31.3,31.8,440212,-0.03343465045592697,33.485,34.052,34.992999999999995,0.018703762340062102,0.7243735763097946
2024-12-12,31.5,32.2,31.5,31.8,246261,0.0,33.35,33.978,34.9405,0.018605245049359717,0.7243735763097946
2024-12-15,31.9,32.7,31.9,32.4,199872,0.018867924528301883,33.260000000000005,33.931999999999995,34.885,0.018510583548310394,0.7380410022779039
2024-12-17,32.5,33.2,32.5,32.7,243402,0.0092592592592593,33.214999999999996,33.914,34.835,0.01770177759619866,0.7448747152619586
2024-12-18,32.8,33.3,32.5,32.6,175021,-0.003058103975535187,33.17,33.894,34.785,0.01751449998683107,0.7425968109339404
2024-12-19,32.3,33.2,32.2,32.2,150986,-0.012269938650306678,33.045,33.872,34.734500000000004,0.016202097390625187,0.7334851936218675
2024-12-22,32.4,33.2,32.2,32.8,308280,0.01863354037267073,32.989999999999995,33.876000000000005,34.6795,0.016504816197691462,0.7471526195899768
2024-12-23,32.6,32.9,32.0,32.2,260125,-0.018292682926829062,32.910000000000004,33.82,34.624,0.016522433452171893,0.7334851936218676
2024-12-24,32.4,33.3,32.1,33.0,328936,0.024844720496894235,32.885000000000005,33.78,34.576,0.017163843488627095,0.7517084282460132
2024-12-26,33.0,33.8,32.6,33.1,90854,0.003030303030303161,32.89,33.748000000000005,34.532,0.0165618858982811,0.7539863325740316
2024-12-29,33.1,33.8,32.0,32.2,587361,-0.027190332326283984,32.825,33.71,34.483999999999995,0.01719746332235746,0.7334851936218676
2024-12-30,32.4,32.9,32.4,32.7,116801,0.01552795031055898,32.79,33.688,34.4425,0.016845757694820086,0.7448747152619587
2025-01-01,32.7,32.9,32.4,32.7,366945,0.0,32.755,33.641999999999996,34.403,0.01679503447697792,0.7448747152619587
